paths    spawn_tags    blacklisted    spawn_value    spawn_price    prob_accompanying_obj    all_accompanying_obj
/obj/item/gun/projectile/automatic/c20r    obj;item;guns;gun;gun_projectile    blacklisted=0    spawn_value=4.22476   spawn_price=1867   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/smg
/obj/item/gun/projectile/automatic/c20r/moebius    obj;item;guns;gun;gun_projectile    blacklisted=0    spawn_value=4.22476   spawn_price=1867   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/smg
/obj/item/gun/projectile/automatic/lmg    obj;item;guns;gun;gun_projectile    blacklisted=1    spawn_value=0.76476   spawn_price=5076   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle/pk
/obj/item/gun/projectile/automatic/lmg/pk    obj;item;guns;gun;gun_projectile    blacklisted=0    spawn_value=0.76476   spawn_price=5076   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle/pk
/obj/item/gun/projectile/automatic/lmg/tk    obj;item;guns;gun;gun_projectile    blacklisted=0    spawn_value=0.76476   spawn_price=5076   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/ihclmg
/obj/item/gun/projectile/automatic/modular/ak    obj;item;part;guns;part_gun    blacklisted=0    spawn_value=6.66667   spawn_price=1000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/gun/projectile/automatic/modular/ak/ironhammer_securities    obj;item;part;guns;part_gun    blacklisted=1    spawn_value=6.3857   spawn_price=1066   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/gun/projectile/automatic/modular/ak/frozen_star    obj;item;guns;gun;gun_projectile;frozen_star;frozen_star_projectile    blacklisted=0    spawn_value=6.3857   spawn_price=1066   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/gun/projectile/automatic/modular/ak/serbian_arms    obj;item;part;guns;part_gun    blacklisted=1    spawn_value=6.37349   spawn_price=1069   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle/drum
/obj/item/gun/projectile/automatic/modular/ak/serbian_arms/printed    obj;item;part;guns;part_gun    blacklisted=1    spawn_value=6.37349   spawn_price=1069   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle/drum
/obj/item/gun/projectile/automatic/modular/ak/serbian_arms/serbship    obj;item;part;guns;part_gun    blacklisted=1    spawn_value=6.37349   spawn_price=1069   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle/drum
/obj/item/gun/projectile/automatic/modular/ak/excelsior    obj;item;part;guns;part_gun    blacklisted=1    spawn_value=6.3857   spawn_price=1066   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
